"Comment","AuthorDisplayName","AuthorProfileImageUrl","AuthorChannelUrl","AuthorChannelID","ReplyCount","LikeCount","PublishedAt","UpdatedAt","CommentID","ParentID","VideoID"
"姜濤勇敢創新藝術表演！","Angela Lau","https://yt3.ggpht.com/ytc/AMLnZu_Se0S5rY4cWLg4M66PCP5A3vynefPzn-Y4BQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC7QJZMgG1fup_eiOrrAIH9g","UC7QJZMgG1fup_eiOrrAIH9g","0","1","2023-01-14T08:12:57Z","2023-01-14T08:12:57Z","UgydM7Lz26NuCvuWIoR4AaABAg",NA,"j5M6RzGN5JE"
"其實係幾突破創新, 幾自我投入個表演","Yumi Chan","https://yt3.ggpht.com/ytc/AMLnZu9kJYCe3RUWkTcMU_Qknv5V-bcj_T5_8OARUt7r1WOu7H2H1Ck-HHT8y885Nutm=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCYvvR2MYAGJU0oyp3WM6idA","UCYvvR2MYAGJU0oyp3WM6idA","0","0","2023-01-14T08:10:10Z","2023-01-14T08:10:10Z","UgxTAFBZnE7PErJa4Kt4AaABAg",NA,"j5M6RzGN5JE"
"支持姜濤，個表演好睇，我幾鍾意❤️","Boygirl little","https://yt3.ggpht.com/ytc/AMLnZu_1bfjXDbemsf6gaw7PlFpRO1T6vRBE1sMCcc-MnA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCTwW1nLrYembbBFuPeT4Aqw","UCTwW1nLrYembbBFuPeT4Aqw","0","0","2023-01-14T08:06:01Z","2023-01-14T08:06:01Z","Ugy-BfijuGRbtj8OCgN4AaABAg",NA,"j5M6RzGN5JE"
"張學友唱唔出    郭富城跳唔到","maygi hui","https://yt3.ggpht.com/ytc/AMLnZu8UzOm5bSz1dXz-kXqjeCk-pKfVeom5YpRX4Q=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCLiEdylyHC0H3-pyj3NK0CQ","UCLiEdylyHC0H3-pyj3NK0CQ","0","2","2023-01-14T07:33:17Z","2023-01-14T07:33:17Z","Ugz9f0NfKCED1v7R4IN4AaABAg",NA,"j5M6RzGN5JE"
"今次他反擊不了人們對他的唱功的質疑， 因爲他完全暴露他的弱點，沒有唱功可言。可悲。。。","Winnie Win Win","https://yt3.ggpht.com/ytc/AMLnZu8QSA90t_YcPQ_haQlcMY-kTg3Wj1MLCdCXjA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCQh9O7nvQk0rF1I4VEifoGQ","UCQh9O7nvQk0rF1I4VEifoGQ","0","7","2023-01-14T07:27:04Z","2023-01-14T07:27:04Z","UgwtjmAqY2uwzuExm0l4AaABAg",NA,"j5M6RzGN5JE"
"YouTube should look into these extremely biased comments and abnormal traffic. Apparently Communty Guidelines and Policies have been violated. Cyber bullying should not be tolerated. This is getting ridiculous and unacceptable.","Paige L","https://yt3.ggpht.com/n3Km4Tc0bkS-I9ZOmqxe8eUcrqOTl0uB_GlcniGDIiE_s4ZpvpmHf4Ch3FRC-PuMly5XIG3ynw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCGs1wiNVF4VZIufbVDFgPMw","UCGs1wiNVF4VZIufbVDFgPMw","1","3","2023-01-14T07:27:01Z","2023-01-14T07:27:01Z","UgwZBUi_1hgqiYX-sW14AaABAg",NA,"j5M6RzGN5JE"
"we never know what keung to is going thru in his life, for the past few years that his dad was sick, he lost his best friend, mirror concert accident, and his leg injury. Lots of pressure and adjustment he needs to handle. It’s always hard to see the heavy burden inside of one’s heart as it’s invisible. One performance doesn’t present all of his performances will be like that. If we can be kind and lead by compassion. Stop judging people with destructive comments. Keung to, I hope u take care of yourself and be healthy. Support 👍🏻","Che","https://yt3.ggpht.com/ytc/AMLnZu_hfMk6vaMyvGaGMuSoesYHZAz91BEp-0AsRA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC40fsnFXKO-fzTl4bXAIBkA","UC40fsnFXKO-fzTl4bXAIBkA","1","3","2023-01-14T07:05:24Z","2023-01-14T07:05:24Z","UgwZ_WwAt5LI_YvQncV4AaABAg",NA,"j5M6RzGN5JE"
"姜濤加油💪🏻💪🏻💪🏻❤🍑","show_kt","https://yt3.ggpht.com/ytc/AMLnZu-kmAo_zymhbJmN-yOug7NGkUZ31A1HnXlMG7vmZG3509mZFE-nshrGKVcbSFV5=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCLqoRDFH8_p55KdrWWAezTQ","UCLqoRDFH8_p55KdrWWAezTQ","0","3","2023-01-14T06:22:22Z","2023-01-14T06:22:48Z","Ugw-BZ01leL-wqgE3j94AaABAg",NA,"j5M6RzGN5JE"
"姜濤已經係天皇巨星級數 仲要同人做組合？            我地姜糖一致要求姜濤馬上離開Mirror單飛去Hollywood發展！費事留係香港卑人耻笑🤣","Chong","https://yt3.ggpht.com/ytc/AMLnZu_aVUN7kvYyL4B9RSbq0gonLf_ak7tDcwIzuDg06R44srIDmhB6EV0N97qS64UG=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCYnCm3ZGO88mnYDxgkUqNYw","UCYnCm3ZGO88mnYDxgkUqNYw","0","6","2023-01-14T06:20:24Z","2023-01-14T06:24:33Z","UgxZ4PiLKTcYbAKEzOF4AaABAg",NA,"j5M6RzGN5JE"
"好難聽！姜濤咁差嘅表現，點解大媽姜糖仲可以講大話盲撐佢？","Amy Lau","https://yt3.ggpht.com/ytc/AMLnZu-rnrC3auy3gfarOxe0W4nSsVpFPdFHJdkc8gNa36eQwGuq0rMyofu7O9-UW3pD=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCMadVj0v-71vxi_ziCcpIWA","UCMadVj0v-71vxi_ziCcpIWA","0","12","2023-01-14T05:56:52Z","2023-01-14T05:59:28Z","UgykbVceloYjqsyefIF4AaABAg",NA,"j5M6RzGN5JE"
"一朝得志，語無倫次，爛泥扶唔上壁！","Amy Lau","https://yt3.ggpht.com/ytc/AMLnZu-rnrC3auy3gfarOxe0W4nSsVpFPdFHJdkc8gNa36eQwGuq0rMyofu7O9-UW3pD=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCMadVj0v-71vxi_ziCcpIWA","UCMadVj0v-71vxi_ziCcpIWA","0","8","2023-01-14T05:50:29Z","2023-01-14T05:50:29Z","Ugw-hjhoyDYfWR6lZZ94AaABAg",NA,"j5M6RzGN5JE"
"2:07 笑死","Harry So","https://yt3.ggpht.com/ytc/AMLnZu-IFk2UukOmKpkKb9eW1p1WjBTnYTSU0lnegyYn6Q=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC7lThvgzlk2yIV1uVBO_lKg","UC7lThvgzlk2yIV1uVBO_lKg","0","2","2023-01-14T05:48:53Z","2023-01-14T05:48:53Z","UgwZzVwd5ptrBKkrZVh4AaABAg",NA,"j5M6RzGN5JE"
"藍屍haters死開喇，姜濤一直養傷腳都未好返，闊別舞台咁耐終於有演出，開心興奮係人之常情，我覺得佢表演好正，點燃現場氣氛🥰 五毛藍屍返大灣區睇春節聯歡晚會，唔該！","Kenny Lee","https://yt3.ggpht.com/dksSAq7nyPZiQ8pBcvThKYyjeAoQFbZSQvbXZ_UndtQW2ZR_K0_jbRISw3yZ9JTOR8tYOMal=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCEEZXN6LSA6s7PN5z4ahKAw","UCEEZXN6LSA6s7PN5z4ahKAw","2","0","2023-01-14T05:43:49Z","2023-01-14T05:43:49Z","Ugzl2fcYdT21-qNEoE54AaABAg",NA,"j5M6RzGN5JE"
"咁多人罵姜濤， 到佢演唱會， 咪又大把人爭住去追去搶去炒， Eason之前被罵到死， 到佢演唱會又係大賣， 香港人只喜歡食花生， 人講佢又講， 咁天真以為真係一面倒?？ 認真你便輸了， 不過姜濤真係堅紅， 而家應該無邊位新聞價值夠佢高","lokyiu chan","https://yt3.ggpht.com/ytc/AMLnZu8kHaytN9CIAoLt18aQ4-HX1P-Ai9UqCgCQI0uCSdDqGK_rRaYCD7KHSCMrVu_H=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCRyfBoospAqzeLDwsd0bMZw","UCRyfBoospAqzeLDwsd0bMZw","0","3","2023-01-14T05:42:16Z","2023-01-14T05:46:56Z","UgxtgkMu4mZPv9z5XeJ4AaABAg",NA,"j5M6RzGN5JE"
"因為今次事件， 我身邊多左人關心姜濤同欣賞佢既作品， 世事真妙， 有危又有機， 柳暗花明又一村！","Jacky Chan","https://yt3.ggpht.com/ytc/AMLnZu8nJCgXVf031iSU7vyc9aDktTGPNkuRMv3lFQq7oH_ogK_7n6HZNNhnrrCaU9tq=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC-piQ7xo8HjxVgI7jM_kv9g","UC-piQ7xo8HjxVgI7jM_kv9g","1","6","2023-01-14T05:36:44Z","2023-01-14T05:36:44Z","Ugw1YgdSxYodXWT1CyJ4AaABAg",NA,"j5M6RzGN5JE"
"姜濤係智慧的結晶，
係文明的瑰寶，
係人類的獨苗，
係上帝的遺珠，
係香港樂壇最後的希望，
係電係光，係唯一的神話。","Sli","https://yt3.ggpht.com/IOs9JCUWj854uJ86lQd0cSV9ofzIl6RfErkkvj9f8AaQcGJ7W9dyhelmmFK35C_rx6tEimi91Q=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC3sWG-L0Y3UHxjBtU1FMBjg","UC3sWG-L0Y3UHxjBtU1FMBjg","0","2","2023-01-14T05:23:37Z","2023-01-14T05:23:37Z","UgzOQ8GZbRxRXAcBDX54AaABAg",NA,"j5M6RzGN5JE"
"除左第一句唔好聽之外 其他都好難聽🥶","God Cat","https://yt3.ggpht.com/ytc/AMLnZu-SOIv0-82m6q4Vd6OvwxYhPSHFC8gvj4cH_-a2=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC5na7oBM0dv3XQ7Uot1COlQ","UC5na7oBM0dv3XQ7Uot1COlQ","0","11","2023-01-14T05:12:13Z","2023-01-14T05:12:13Z","UgwIYHup4WTfwkmO9uF4AaABAg",NA,"j5M6RzGN5JE"
"當初有其他人扮姜濤就比人圍插，而家佢自己比更多人恥笑👏","Frankie Wu","https://yt3.ggpht.com/ytc/AMLnZu__FVigmXpG0rNmQ5G9C4L7-DZXXM17tHUi9w=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCMd5r2SSdyRfFldw4crDmlQ","UCMd5r2SSdyRfFldw4crDmlQ","3","11","2023-01-14T04:50:47Z","2023-01-14T04:50:47Z","Ugz8TTr3AfJPAducTNx4AaABAg",NA,"j5M6RzGN5JE"
"KT, love and support you forever💪","Such","https://yt3.ggpht.com/ytc/AMLnZu8pfXolCsvOlkiogdK8Zfgt3wqDP1Yj0F2MRkC5MR81Ry8TG6Wef0z1Hg5qoVjZ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCGHCnjslgDlxwzLu2Alj9dQ","UCGHCnjslgDlxwzLu2Alj9dQ","0","8","2023-01-14T04:50:45Z","2023-01-14T04:50:45Z","UgyEOt54aciNYBr4AcN4AaABAg",NA,"j5M6RzGN5JE"
"姜濤，加油，支持你，尚未完全康復就咁落力去演繹鏡中鏡，值得嘉許！","Such","https://yt3.ggpht.com/ytc/AMLnZu8pfXolCsvOlkiogdK8Zfgt3wqDP1Yj0F2MRkC5MR81Ry8TG6Wef0z1Hg5qoVjZ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCGHCnjslgDlxwzLu2Alj9dQ","UCGHCnjslgDlxwzLu2Alj9dQ","0","10","2023-01-14T04:48:03Z","2023-01-14T04:48:03Z","UgxfYYSeu07452crgwl4AaABAg",NA,"j5M6RzGN5JE"
"身為一個偶像派如果唔唱得，唔跳得，至少都要睇得下！現在佢仲咁肥同樣衰，真係冇一樣好囉😅😂","mandy12","https://yt3.ggpht.com/ytc/AMLnZu-IvenSAmg25BMECUm1xS4LPnCc5H_ZqLmO5VPvH1EmOYPS-s66gdKUD2M41-o6=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC06C7rUqn0IoI8iCGTiZyAQ","UC06C7rUqn0IoI8iCGTiZyAQ","0","12","2023-01-14T04:45:53Z","2023-01-14T04:45:53Z","Ugw35_yrHBk81MjGG2J4AaABAg",NA,"j5M6RzGN5JE"
"姜濤，保重好身體，萬衆期待您完全康復後再踏上舞台，鏡中鏡真的好精彩，好好睇，加油，支持您！","rayy","https://yt3.ggpht.com/ytc/AMLnZu8-6i-FPOVXi2TmLkwiKYnUzSmOEPX3AxjskcbGH5_Up6srRSJBCCLN0r7RDncB=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC9SqeKeA8-QiDTU6VrPGFrg","UC9SqeKeA8-QiDTU6VrPGFrg","0","9","2023-01-14T04:44:15Z","2023-01-14T04:44:15Z","Ugy_8Xdq3KeDlrIDjy94AaABAg",NA,"j5M6RzGN5JE"
"之前就捧姜濤成個超級巨星咁，現在時間可以証明佢根本係冇料之人！","CYY","https://yt3.ggpht.com/ytc/AMLnZu_1w9-AptO-axGYjio-SWZtWlS3HhzZQKZehykZy06IYaWfStn8xizt0D4oqGHa=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCtqyjdGqsGIIwtat4CCo3bg","UCtqyjdGqsGIIwtat4CCo3bg","0","10","2023-01-14T04:39:46Z","2023-01-14T04:39:46Z","Ugyr6ejea4eY8Oqrb-R4AaABAg",NA,"j5M6RzGN5JE"
"Love you KeungTo,  support you forever!","rayy","https://yt3.ggpht.com/ytc/AMLnZu8-6i-FPOVXi2TmLkwiKYnUzSmOEPX3AxjskcbGH5_Up6srRSJBCCLN0r7RDncB=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC9SqeKeA8-QiDTU6VrPGFrg","UC9SqeKeA8-QiDTU6VrPGFrg","0","6","2023-01-14T04:39:42Z","2023-01-14T04:39:42Z","UgwPi1y6Ict5g36e5NV4AaABAg",NA,"j5M6RzGN5JE"
"儍撚，以為好型, 要keep住做小丑🤡比人笑","Wu Fwu","https://yt3.ggpht.com/ytc/AMLnZu9a5B-V97tp_VdfJDhKGbmGpXaHK-vIBL7gRn9C1ws_CxR5yPoeRdqNiPE0WTYq=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCwGJ5NiDAZciv_OXUxHu3xA","UCwGJ5NiDAZciv_OXUxHu3xA","0","11","2023-01-14T04:32:50Z","2023-01-14T04:32:50Z","Ugz5Y30bXwzKG1HEgt14AaABAg",NA,"j5M6RzGN5JE"
"唔知日後重有冇歌手敢請姜仔上台唱live 同跳舞，後果可能俾人笑足一世😂","Peter Chan","https://yt3.ggpht.com/ytc/AMLnZu-0Ow7R0XTCnVnUrbEYdXxCB9d6Xt_7VcNjRum1u04UkDICpgEBIKwIo2rREMQq=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCWUdQTWx_TUc0jnLJbacvcA","UCWUdQTWx_TUc0jnLJbacvcA","0","10","2023-01-14T04:25:53Z","2023-01-14T04:25:53Z","UgzCxhR6mBWJNfMpY1B4AaABAg",NA,"j5M6RzGN5JE"
"每個人都有屬於自己嘅表演風格、方式。所以姜濤唔使驚人哋點睇你！最緊要係盡力做好自己想做嘅嘢就已經對fans 最好嘅答謝👍💙永遠都支持你🍑 做你背後嘅姜糖💙🍑","John To","https://yt3.ggpht.com/HCdxtYQq9PsA4fjOxslKgS-qQfGvEox54JOe--lO32KaYuR1csKrfN3gmQ2_ty_iZJN-Dw8Eb9k=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCE8sKUXo9t9r_9KqpO6834A","UCE8sKUXo9t9r_9KqpO6834A","0","8","2023-01-14T04:14:24Z","2023-01-14T04:14:24Z","UgyWuW3Mynnv_dWbPdp4AaABAg",NA,"j5M6RzGN5JE"
"唔係以為行落個台就係型先得㗎","Red_Leaf","https://yt3.ggpht.com/ytc/AMLnZu9WPVg22bh_Gn9xIYLrZXPE8BSOb602RMS7RqU4=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCB-vXfoVgb5bzmqe9PzKw9Q","UCB-vXfoVgb5bzmqe9PzKw9Q","0","12","2023-01-14T03:11:45Z","2023-01-14T03:11:45Z","Ugxr2zhtFVhJYuSH6Yx4AaABAg",NA,"j5M6RzGN5JE"
